pid,cost
7,650943
10,583248
13,688632
14,676981
15,604219
16,604219
17,604219
19,236052
20,240678
21,237954
23,1200000
24,1573113
25,1502636
26,865000
27,1125000
28,1128380
30,1696800
31,1651975
33,369898
35,241983
36,5967
37,1546750
39,5525451
40,398751
42,212589
43,10524
44,93771
47,1875000
48,127501
49,52831
51,1415802
52,222406
53,157907
54,1564863
55,73451
57,650943
58,867925
59,10849
61,619827
62,467763
64,371404
67,818440
68,556439
69,2300000
72,517800
73,544500
74,571665
75,392519
85,325472
86,70519
88,14104
89,34717
92,3222
96,16816
100,59670
101,1081000
102,63600
107,5966981
108,562350
111,244104
118,412264
121,249528
125,550689
126,550195
127,900000
128,560000
129,280000
132,250000
134,329613
136,7000
138,680000
139,235750
140,244076
141,248469
143,260377
144,319263
147,70000
148,155377
149,215000
150,112275
151,300000
152,200000
153,121452
155,340331
177,74192
178,647772
179,575788
180,843295
181,1345500
182,178584
183,186604
185,72000
192,49906
193,42311
194,108491
197,20613
198,32547
199,98601
200,98107
201,124764
204,39057
206,75360
207,1200000
208,167035
209,167035
210,167035
211,167035
212,167035
213,167035
214,167035
215,600
216,1000
219,913822
221,3600000
222,3600000
223,3600000
226,110604
227,110604
231,357468
232,292836
233,436713
234,74256
235,283119
240,471351
242,629292
245,146407
246,28865
250,317860
254,3600000
257,464048
258,400752
259,400000
260,4828
262,245536
266,455660
276,326554
315,193656
341,288000
342,288000
349,372251
358,1531475
364,288000
365,288000
384,249528
395,10361
396,2712
413,17944
