food_id,pid,amount,unit
1,180,0.170,1
1,219,0.035,1
1,231,0.035,1
1,232,0.100,1
1,57,1.000,5
1,58,1.000,5
1,59,1.000,5
1,72,3.000,5
1,125,2.000,5
1,215,1.000,5
1,216,1.000,5
1,221,1.000,5
1,222,1.000,5
1,223,1.000,5
1,224,1.000,5
1,428,1.000,5
2,180,0.170,1
2,219,0.035,1
2,231,0.035,1
2,232,0.100,1
2,57,1.000,5
2,58,1.000,5
2,59,1.000,5
2,72,3.000,5
2,126,2.000,5
2,215,1.000,5
2,215,1.000,5
2,216,1.000,5
2,222,1.000,5
2,222,1.000,5
2,223,1.000,5
2,428,1.000,5
3,180,0.170,1
3,219,0.035,1
3,231,0.035,1
3,232,0.100,1
3,57,1.000,5
3,58,1.000,5
3,59,1.000,5
3,72,3.000,5
3,125,3.000,5
3,215,1.000,5
3,216,1.000,5
3,221,1.000,5
3,222,1.000,5
3,223,1.000,5
3,224,1.000,5
3,428,1.000,5
4,180,0.170,1
4,219,0.035,1
4,231,0.035,1
4,232,0.100,1
4,57,1.000,5
4,58,1.000,5
4,59,1.000,5
4,72,3.000,5
4,126,3.000,5
4,215,1.000,5
4,216,1.000,5
4,221,1.000,5
4,222,1.000,5
4,223,1.000,5
4,224,1.000,5
4,428,1.000,5
5,42,0.006,1
5,145,0.035,1
5,146,0.035,1
5,180,0.170,1
5,232,0.100,1
5,57,1.000,5
5,58,1.000,5
5,59,1.000,5
5,72,3.000,5
5,127,3.000,5
5,215,1.000,5
5,216,1.000,5
5,222,1.000,5
5,223,1.000,5
5,224,1.000,5
5,224,1.000,5
5,428,1.000,5
6,42,0.006,1
6,145,0.035,1
6,146,0.035,1
6,180,0.170,1
6,232,0.100,1
6,57,1.000,5
6,58,1.000,5
6,59,1.000,5
6,72,3.000,5
6,127,5.000,5
6,215,1.000,5
6,216,1.000,5
6,222,1.000,5
6,223,1.000,5
6,224,1.000,5
6,224,1.000,5
6,428.000,1.000,5
7,180,0.680,1
7,219,0.140,1
7,231,0.140,1
7,232,0.400,1
7,57,4.000,5
7,58,4.000,5
7,59,4.000,5
7,72,10.000,5
7,126,12.000,5
7,215,4.000,5
7,216,4.000,5
7,221,4.000,5
7,222,4.000,5
7,223,4.000,5
7,224,4.000,5
8,5,0.003,1
8,180,0.340,1
8,199,0.230,1
8,219,0.070,1
8,231,0.070,1
8,232,0.100,1
8,57,2.000,5
8,58,2.000,5
8,59,2.000,5
8,72,6.000,5
8,125,2.000,5
8,127,2.000,5
8,215,2.000,5
8,216,1.000,5
8,221,2.000,5
8,222,2.000,5
8,223,1.000,5
8,224,2.000,5
8,259,2.000,5
8,428,2.000,5
9,69,0.020,1
9,132,0.070,1
